Parking_lot,yolo_car_count,date_time
IllerCreek,0.0,2020-06-02 22:00:00
IllerCreek,1.0,2020-06-02 22:10:00
IllerCreek,1.0,2020-06-02 22:20:00
IllerCreek,1.0,2020-06-02 22:31:00
IllerCreek,0.0,2020-06-02 22:41:00
IllerCreek,0.0,2020-06-02 22:53:00
IllerCreek,0.0,2020-06-02 23:04:00
IllerCreek,0.0,2020-06-02 23:15:00
IllerCreek,0.0,2020-06-02 23:26:00
IllerCreek,0.0,2020-06-02 23:37:00
IllerCreek,0.0,2020-06-02 23:49:00
IllerCreek,0.0,2020-06-03 00:00:00
IllerCreek,0.0,2020-06-03 00:11:00
IllerCreek,0.0,2020-06-03 00:22:00
IllerCreek,0.0,2020-06-03 00:33:00
IllerCreek,0.0,2020-06-03 00:44:00
IllerCreek,0.0,2020-06-03 00:54:00
IllerCreek,0.0,2020-06-03 01:05:00
IllerCreek,0.0,2020-06-03 01:16:00
IllerCreek,0.0,2020-06-03 01:27:00
IllerCreek,0.0,2020-06-03 01:37:00
IllerCreek,0.0,2020-06-03 01:49:00
IllerCreek,0.0,2020-06-03 02:01:00
IllerCreek,0.0,2020-06-03 02:12:00
IllerCreek,0.0,2020-06-03 02:22:00
IllerCreek,0.0,2020-06-03 02:33:00
IllerCreek,0.0,2020-06-03 02:44:00
IllerCreek,0.0,2020-06-03 02:55:00
IllerCreek,0.0,2020-06-03 03:06:00
IllerCreek,0.0,2020-06-03 03:17:00
IllerCreek,0.0,2020-06-03 03:29:00
IllerCreek,0.0,2020-06-03 03:40:00
IllerCreek,1.0,2020-06-03 03:51:00
IllerCreek,0.0,2020-06-03 04:02:00
IllerCreek,0.0,2020-06-03 04:12:00
IllerCreek,0.0,2020-06-03 04:23:00
IllerCreek,0.0,2020-06-03 04:35:00
IllerCreek,0.0,2020-06-03 04:45:00
IllerCreek,1.0,2020-06-03 04:58:00
IllerCreek,2.0,2020-06-03 05:09:00
IllerCreek,2.0,2020-06-03 05:20:00
IllerCreek,3.0,2020-06-03 05:31:00
IllerCreek,3.0,2020-06-03 05:42:00
IllerCreek,3.0,2020-06-03 05:53:00
IllerCreek,4.0,2020-06-03 06:03:00
IllerCreek,4.0,2020-06-03 06:14:00
IllerCreek,4.0,2020-06-03 06:25:00
IllerCreek,4.0,2020-06-03 06:36:00
