Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count,image,car_count
Glenrose,03-06-2020-05-20.jpeg,6,3,2020,5,20,0,03-06-2020-05-20.jpeg,0
Glenrose,03-06-2020-05-31.jpeg,6,3,2020,5,31,0,03-06-2020-05-31.jpeg,0
Glenrose,03-06-2020-05-42.jpeg,6,3,2020,5,42,0,03-06-2020-05-42.jpeg,0
Glenrose,03-06-2020-05-53.jpeg,6,3,2020,5,53,1,03-06-2020-05-53.jpeg,1
Glenrose,03-06-2020-06-03.jpeg,6,3,2020,6,3,1,03-06-2020-06-03.jpeg,1
Glenrose,03-06-2020-06-14.jpeg,6,3,2020,6,14,1,03-06-2020-06-14.jpeg,1
Glenrose,03-06-2020-06-25.jpeg,6,3,2020,6,25,1,03-06-2020-06-25.jpeg,1
Glenrose,03-06-2020-06-36.jpeg,6,3,2020,6,36,1,03-06-2020-06-36.jpeg,1
Glenrose,03-06-2020-06-47.jpeg,6,3,2020,6,47,1,03-06-2020-06-47.jpeg,1
Glenrose,03-06-2020-06-57.jpeg,6,3,2020,6,57,0,03-06-2020-06-57.jpeg,1
Glenrose,03-06-2020-07-08.jpeg,6,3,2020,7,8,2,03-06-2020-07-08.jpeg,2
Glenrose,03-06-2020-07-19.jpeg,6,3,2020,7,19,3,03-06-2020-07-19.jpeg,3
Glenrose,03-06-2020-07-30.jpeg,6,3,2020,7,30,4,03-06-2020-07-30.jpeg,3
Glenrose,03-06-2020-07-41.jpeg,6,3,2020,7,41,2,03-06-2020-07-41.jpeg,2
Glenrose,03-06-2020-07-52.jpeg,6,3,2020,7,52,2,03-06-2020-07-52.jpeg,2
Glenrose,03-06-2020-08-03.jpeg,6,3,2020,8,3,1,03-06-2020-08-03.jpeg,1
Glenrose,03-06-2020-08-14.jpeg,6,3,2020,8,14,2,03-06-2020-08-14.jpeg,2
Glenrose,03-06-2020-08-25.jpeg,6,3,2020,8,25,2,03-06-2020-08-25.jpeg,2
Glenrose,03-06-2020-08-36.jpeg,6,3,2020,8,36,3,03-06-2020-08-36.jpeg,2
Glenrose,03-06-2020-08-57.jpeg,6,3,2020,8,57,3,03-06-2020-08-57.jpeg,3
Glenrose,03-06-2020-09-07.jpeg,6,3,2020,9,7,2,03-06-2020-09-07.jpeg,2
Glenrose,03-06-2020-09-17.jpeg,6,3,2020,9,17,4,03-06-2020-09-17.jpeg,4
Glenrose,03-06-2020-09-27.jpeg,6,3,2020,9,27,3,03-06-2020-09-27.jpeg,2
Glenrose,03-06-2020-09-37.jpeg,6,3,2020,9,37,1,03-06-2020-09-37.jpeg,1
Glenrose,03-06-2020-09-47.jpeg,6,3,2020,9,47,1,03-06-2020-09-47.jpeg,2
Glenrose,03-06-2020-09-57.jpeg,6,3,2020,9,57,0,03-06-2020-09-57.jpeg,2
Glenrose,03-06-2020-10-07.jpeg,6,3,2020,10,7,1,03-06-2020-10-07.jpeg,3
Glenrose,03-06-2020-10-17.jpeg,6,3,2020,10,17,1,03-06-2020-10-17.jpeg,5
Glenrose,03-06-2020-10-27.jpeg,6,3,2020,10,27,4,03-06-2020-10-27.jpeg,6
Glenrose,03-06-2020-10-37.jpeg,6,3,2020,10,37,3,03-06-2020-10-37.jpeg,6
Glenrose,03-06-2020-10-47.jpeg,6,3,2020,10,47,4,03-06-2020-10-47.jpeg,6
Glenrose,03-06-2020-10-57.jpeg,6,3,2020,10,57,4,03-06-2020-10-57.jpeg,6
Glenrose,03-06-2020-11-07.jpeg,6,3,2020,11,7,3,03-06-2020-11-07.jpeg,6
Glenrose,03-06-2020-11-17.jpeg,6,3,2020,11,17,3,03-06-2020-11-17.jpeg,6
Glenrose,03-06-2020-11-27.jpeg,6,3,2020,11,27,4,03-06-2020-11-27.jpeg,7
Glenrose,03-06-2020-11-37.jpeg,6,3,2020,11,37,5,03-06-2020-11-37.jpeg,7
Glenrose,03-06-2020-11-48.jpeg,6,3,2020,11,48,2,03-06-2020-11-48.jpeg,6
Glenrose,03-06-2020-11-58.jpeg,6,3,2020,11,58,3,03-06-2020-11-58.jpeg,7
Glenrose,03-06-2020-12-08.jpeg,6,3,2020,12,8,4,03-06-2020-12-08.jpeg,5
Glenrose,03-06-2020-12-18.jpeg,6,3,2020,12,18,4,03-06-2020-12-18.jpeg,5
Glenrose,03-06-2020-12-29.jpeg,6,3,2020,12,29,4,03-06-2020-12-29.jpeg,5
Glenrose,03-06-2020-12-39.jpeg,6,3,2020,12,39,4,03-06-2020-12-39.jpeg,5
Glenrose,03-06-2020-12-49.jpeg,6,3,2020,12,49,3,03-06-2020-12-49.jpeg,4
