Parking_lot,file_name,month,day,year,hour,minute,yolo_car_count
StevensCreek,03-06-2020-03-29.jpeg,6,3,2020,3,29,0
StevensCreek,03-06-2020-03-40.jpeg,6,3,2020,3,40,0
StevensCreek,03-06-2020-03-51.jpeg,6,3,2020,3,51,0
StevensCreek,03-06-2020-04-02.jpeg,6,3,2020,4,2,0
StevensCreek,03-06-2020-04-12.jpeg,6,3,2020,4,12,0
StevensCreek,03-06-2020-04-23.jpeg,6,3,2020,4,23,0
StevensCreek,03-06-2020-04-35.jpeg,6,3,2020,4,35,0
StevensCreek,03-06-2020-04-45.jpeg,6,3,2020,4,45,0
StevensCreek,03-06-2020-04-58.jpeg,6,3,2020,4,58,0
StevensCreek,03-06-2020-05-09.jpeg,6,3,2020,5,9,0
StevensCreek,03-06-2020-05-20.jpeg,6,3,2020,5,20,0
StevensCreek,03-06-2020-05-31.jpeg,6,3,2020,5,31,0
StevensCreek,03-06-2020-05-42.jpeg,6,3,2020,5,42,0
StevensCreek,03-06-2020-05-53.jpeg,6,3,2020,5,53,0
StevensCreek,03-06-2020-06-03.jpeg,6,3,2020,6,3,0
StevensCreek,03-06-2020-06-14.jpeg,6,3,2020,6,14,0
StevensCreek,03-06-2020-06-25.jpeg,6,3,2020,6,25,0
StevensCreek,03-06-2020-06-36.jpeg,6,3,2020,6,36,1
StevensCreek,03-06-2020-06-47.jpeg,6,3,2020,6,47,2
StevensCreek,03-06-2020-06-57.jpeg,6,3,2020,6,57,3
StevensCreek,03-06-2020-07-08.jpeg,6,3,2020,7,8,2
StevensCreek,03-06-2020-07-19.jpeg,6,3,2020,7,19,4
StevensCreek,03-06-2020-07-30.jpeg,6,3,2020,7,30,3
StevensCreek,03-06-2020-07-41.jpeg,6,3,2020,7,41,2
StevensCreek,03-06-2020-07-52.jpeg,6,3,2020,7,52,2
StevensCreek,03-06-2020-08-03.jpeg,6,3,2020,8,3,2
StevensCreek,03-06-2020-08-14.jpeg,6,3,2020,8,14,2
StevensCreek,03-06-2020-08-25.jpeg,6,3,2020,8,25,3
StevensCreek,03-06-2020-08-36.jpeg,6,3,2020,8,36,3
StevensCreek,03-06-2020-08-57.jpeg,6,3,2020,8,57,2
StevensCreek,03-06-2020-09-07.jpeg,6,3,2020,9,7,2
StevensCreek,03-06-2020-09-17.jpeg,6,3,2020,9,17,3
StevensCreek,03-06-2020-09-27.jpeg,6,3,2020,9,27,0
StevensCreek,03-06-2020-09-37.jpeg,6,3,2020,9,37,0
StevensCreek,03-06-2020-09-47.jpeg,6,3,2020,9,47,0
StevensCreek,03-06-2020-09-57.jpeg,6,3,2020,9,57,0
StevensCreek,03-06-2020-10-07.jpeg,6,3,2020,10,7,0
